trial3,4,1,15,1591,96536,99074,241.907 482 424 328.181 711 308 225.578 515 373 352.922 417 549 279.204 849 386,Click1,0,728,315,100019,NA,,
trial3,4,1,15,1591,96536,99074,241.907 482 424 328.181 711 308 225.578 515 373 352.922 417 549 279.204 849 386,Click1,1,838,408,100510,NA,,
trial3,4,1,15,1591,96536,99074,241.907 482 424 328.181 711 308 225.578 515 373 352.922 417 549 279.204 849 386,Click1,2,579,367,101069,NA,,
trial3,4,1,15,1591,96536,99074,241.907 482 424 328.181 711 308 225.578 515 373 352.922 417 549 279.204 849 386,Click1,3,533,399,101583,NA,,
trial3,4,1,15,1591,96536,99074,241.907 482 424 328.181 711 308 225.578 515 373 352.922 417 549 279.204 849 386,Click1,4,424,510,102142,NA,,
trial3,4,1,15,1591,96536,99074,241.907 482 424 328.181 711 308 225.578 515 373 352.922 417 549 279.204 849 386,Summary,NA,NA,NA,102160,0.35,,
trial3,4,1,16,1700,102745,105618,336.045 689 328 155.784 605 350 294.628 634 409 360.473 633 418 112.637 863 287,Click1,0,603,345,106485,NA,,
trial3,4,1,16,1700,102745,105618,336.045 689 328 155.784 605 350 294.628 634 409 360.473 633 418 112.637 863 287,Click1,1,621,394,106860,NA,,
trial3,4,1,16,1700,102745,105618,336.045 689 328 155.784 605 350 294.628 634 409 360.473 633 418 112.637 863 287,Click1,2,652,439,107169,NA,,
trial3,4,1,16,1700,102745,105618,336.045 689 328 155.784 605 350 294.628 634 409 360.473 633 418 112.637 863 287,Click1,3,713,326,107545,NA,,
trial3,4,1,16,1700,102745,105618,336.045 689 328 155.784 605 350 294.628 634 409 360.473 633 418 112.637 863 287,Click1,4,916,259,108031,NA,,
trial3,4,1,16,1700,102745,105618,336.045 689 328 155.784 605 350 294.628 634 409 360.473 633 418 112.637 863 287,Summary,NA,NA,NA,108045,0.28,,
trial3,4,1,17,1774,108543,110504,145.927 815 310 343.234 450 435 140.791 558 437 146.515 637 466 109.201 778 459,Click1,0,465,428,111527,NA,,
trial3,4,1,17,1774,108543,110504,145.927 815 310 343.234 450 435 140.791 558 437 146.515 637 466 109.201 778 459,Click1,1,576,419,112167,NA,,
trial3,4,1,17,1774,108543,110504,145.927 815 310 343.234 450 435 140.791 558 437 146.515 637 466 109.201 778 459,Click1,2,669,443,112546,NA,,
trial3,4,1,17,1774,108543,110504,145.927 815 310 343.234 450 435 140.791 558 437 146.515 637 466 109.201 778 459,Click1,3,781,387,112964,NA,,
trial3,4,1,17,1774,108543,110504,145.927 815 310 343.234 450 435 140.791 558 437 146.515 637 466 109.201 778 459,Click1,4,841,277,113366,NA,,
trial3,4,1,17,1774,108543,110504,145.927 815 310 343.234 450 435 140.791 558 437 146.515 637 466 109.201 778 459,Summary,NA,NA,NA,113379,0.39,,
trial3,4,1,18,1869,113995,116557,283.548 627 448 346.054 699 394 270.207 471 393 340.874 629 516 217.58 661 507,Click1,0,639,443,117450,NA,,
trial3,4,1,18,1869,113995,116557,283.548 627 448 346.054 699 394 270.207 471 393 340.874 629 516 217.58 661 507,Click1,1,605,502,117868,NA,,
trial3,4,1,18,1869,113995,116557,283.548 627 448 346.054 699 394 270.207 471 393 340.874 629 516 217.58 661 507,Click1,2,658,498,118239,NA,,
trial3,4,1,18,1869,113995,116557,283.548 627 448 346.054 699 394 270.207 471 393 340.874 629 516 217.58 661 507,Click1,3,711,387,118743,NA,,
trial3,4,1,18,1869,113995,116557,283.548 627 448 346.054 699 394 270.207 471 393 340.874 629 516 217.58 661 507,Click1,4,478,363,120053,NA,,
trial3,4,1,18,1869,113995,116557,283.548 627 448 346.054 699 394 270.207 471 393 340.874 629 516 217.58 661 507,Summary,NA,NA,NA,120066,0.19,,
trial3,4,1,19,1942,120593,122630,154.816 691 270 62.1241 874 416 91.8444 475 525 359.022 825 481 327.172 584 414,Click1,0,705,316,123412,NA,,
