participant_id,test_block,test_type,test_number,,activity_start_time,test_start_time,,description,test_result_0,test_result_1,test_result_2,,,,
testingTimestamp,1,1,3,472,13395,17214,185.254 677 584 74.9228 787 394 142.051 594 358 -3.24853 696 484 69.4377 643 250 ,Click1,2,708,472,18881,NA,,
testingTimestamp,1,1,3,472,13395,17214,185.254 677 584 74.9228 787 394 142.051 594 358 -3.24853 696 484 69.4377 643 250 ,Click1,3,837,379,19154,NA,,
testingTimestamp,1,1,3,472,13395,17214,185.254 677 584 74.9228 787 394 142.051 594 358 -3.24853 696 484 69.4377 643 250 ,Click1,4,703,551,19643,NA,,
testingTimestamp,1,1,3,472,13395,17214,185.254 677 584 74.9228 787 394 142.051 594 358 -3.24853 696 484 69.4377 643 250 ,Summary,NA,NA,NA,19659,0.39,,
testingTimestamp,2,3,4,569,20851,22772,228.634 522 522 227.418 746 404 147.236 437 463 340.475 522 414 177.559 469 333 ,Click2,1,3,1,24476,0,,
testingTimestamp,2,3,4,569,20851,22772,228.634 522 522 227.418 746 404 147.236 437 463 340.475 522 414 177.559 469 333 ,Click2,2,1,2,25307,0,,
testingTimestamp,2,3,5,650,25309,26928,233.003 436 388 125.563 653 363 7.40149 393 533 90.6077 558 534 278.505 415 251 ,Click2,1,1,1,27993,1,,
testingTimestamp,2,3,5,650,25309,26928,233.003 436 388 125.563 653 363 7.40149 393 533 90.6077 558 534 278.505 415 251 ,Click2,2,3,4,29046,0,,
testingTimestamp,2,3,6,788,29049,31781,4.62851 525 287 345.689 535 555 314.563 642 528 303.874 727 427 15.3228 643 259 ,Click2,1,5,5,33180,1,,
testingTimestamp,2,3,6,788,29049,31781,4.62851 525 287 345.689 535 555 314.563 642 528 303.874 727 427 15.3228 643 259 ,Click2,2,1,2,34304,0,,
testingTimestamp,3,5,7,927,34914,37645,198.901 617 259 343.441 786 456 312.957 843 349 167.649 657 342 138.388 816 347 ,ANGLE,3,843,349,-42.9575,135,42082,177.957
testingTimestamp,3,5,8,1073,42090,44978,29.3924 680 275 201.864 693 381 146.2 769 361 117.797 481 437 127.101 613 547 ,ANGLE,5,613,547,142.899,-2,47003,144.899
testingTimestamp,3,5,9,1162,47011,48845,21.7948 852 330 200.181 518 338 157.182 610 445 145.031 360 564 335.442 664 522 ,ANGLE,2,518,338,69.8188,212,50285,142.181
testingTimestamp,4,1,10,1283,51006,53424,217.765 819 271 49.1326 631 473 313.891 542 440 329.779 552 481 334.865 858 388 ,Click1,0,564,444,54218,NA,,
testingTimestamp,4,1,10,1283,51006,53424,217.765 819 271 49.1326 631 473 313.891 542 440 329.779 552 481 334.865 858 388 ,Click1,1,715,430,54470,NA,,
testingTimestamp,4,1,10,1283,51006,53424,217.765 819 271 49.1326 631 473 313.891 542 440 329.779 552 481 334.865 858 388 ,Click1,2,790,399,54640,NA,,
testingTimestamp,4,1,10,1283,51006,53424,217.765 819 271 49.1326 631 473 313.891 542 440 329.779 552 481 334.865 858 388 ,Click1,3,790,399,54792,NA,,
testingTimestamp,4,1,10,1283,51006,53424,217.765 819 271 49.1326 631 473 313.891 542 440 329.779 552 481 334.865 858 388 ,Click1,4,638,520,55190,NA,,
testingTimestamp,4,1,10,1283,51006,53424,217.765 819 271 49.1326 631 473 313.891 542 440 329.779 552 481 334.865 858 388 ,Summary,NA,NA,NA,55207,0.61,,
testingTimestamp,4,1,11,1363,55550,57131,64.8439 761 253 212.006 728 573 308.902 636 316 325.448 693 417 173.434 875 346 ,Click1,0,751,356,57898,NA,,
testingTimestamp,4,1,11,1363,55550,57131,64.8439 761 253 212.006 728 573 308.902 636 316 325.448 693 417 173.434 875 346 ,Click1,1,751,356,58071,NA,,
testingTimestamp,4,1,11,1363,55550,57131,64.8439 761 253 212.006 728 573 308.902 636 316 325.448 693 417 173.434 875 346 ,Click1,2,688,411,58339,NA,,
testingTimestamp,4,1,11,1363,55550,57131,64.8439 761 253 212.006 728 573 308.902 636 316 325.448 693 417 173.434 875 346 ,Click1,3,637,525,58885,NA,,
testingTimestamp,4,1,11,1363,55550,57131,64.8439 761 253 212.006 728 573 308.902 636 316 325.448 693 417 173.434 875 346 ,Click1,4,828,490,59254,NA,,
testingTimestamp,4,1,11,1363,55550,57131,64.8439 761 253 212.006 728 573 308.902 636 316 325.448 693 417 173.434 875 346 ,Summary,NA,NA,NA,59278,0.86,,
